Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21422","Almonds, shelled","2007","2007","t","0","E","Estimated value",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21422","Almonds, shelled","2008","2008","t","0","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21422","Almonds, shelled","2009","2009","t","0","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21422","Almonds, shelled","2010","2010","t","0","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21422","Almonds, shelled","2011","2011","t","1","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21422","Almonds, shelled","2012","2012","t","0","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21422","Almonds, shelled","2013","2013","t","2","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21422","Almonds, shelled","2014","2014","t","0.71","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21422","Almonds, shelled","2015","2015","t","0.3","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21422","Almonds, shelled","2017","2017","t","0.1","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21422","Almonds, shelled","2018","2018","t","0.42","I","Imputed value",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21422","Almonds, shelled","2019","2019","t","2.18","I","Imputed value",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21422","Almonds, shelled","2020","2020","t","3.08","I","Imputed value",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21422","Almonds, shelled","2021","2021","t","5.66","I","Imputed value",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21422","Almonds, shelled","2022","2022","t","3.71","I","Imputed value",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","1961","1961","t","0","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","1962","1962","t","0","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","1963","1963","t","0","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","1964","1964","t","0","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","1965","1965","t","0","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","1966","1966","t","0","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","1967","1967","t","0","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","1968","1968","t","10","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","1969","1969","t","17","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","1970","1970","t","12","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","1971","1971","t","37","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","1972","1972","t","37","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","1973","1973","t","18","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","1974","1974","t","17","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","1975","1975","t","20","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","1976","1976","t","12","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","1977","1977","t","6","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","1978","1978","t","2","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","1979","1979","t","0","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","1980","1980","t","1","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","1981","1981","t","0","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","1982","1982","t","0","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","1983","1983","t","0","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","1984","1984","t","43","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","1985","1985","t","89","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","1986","1986","t","14","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","1987","1987","t","0","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","1988","1988","t","0","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","1989","1989","t","0","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","1990","1990","t","0","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","1991","1991","t","12","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","1992","1992","t","5","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","1993","1993","t","23","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","1994","1994","t","0","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","1995","1995","t","1","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","1996","1996","t","0","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","1997","1997","t","0","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","1998","1998","t","0","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","1999","1999","t","11","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","2000","2000","t","22.28","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","2001","2001","t","57","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","2002","2002","t","54","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","2003","2003","t","20","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","2004","2004","t","3","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","2005","2005","t","45","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","2006","2006","t","45","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","2007","2007","t","48","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","2008","2008","t","23","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","2009","2009","t","38","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","2010","2010","t","12","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","2011","2011","t","14","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","2012","2012","t","0","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","2013","2013","t","0","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","2014","2014","t","1.04","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","2015","2015","t","19.44","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","2016","2016","t","4.32","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","2017","2017","t","3.24","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","2018","2018","t","2.6","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","2019","2019","t","10.23","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","2020","2020","t","866.43","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","2021","2021","t","7948.57","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","21529.03","Animal oils and fats n.e.c.","2022","2022","t","13387.25","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","1961","1961","t","0","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","1962","1962","t","0","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","1963","1963","t","0","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","1964","1964","t","0","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","1965","1965","t","0","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","1966","1966","t","0","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","1967","1967","t","0","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","1968","1968","t","0","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","1969","1969","t","0","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","1970","1970","t","0","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","1971","1971","t","11","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","1972","1972","t","0","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","1973","1973","t","0","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","1974","1974","t","75","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","1975","1975","t","0","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","1976","1976","t","0","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","1977","1977","t","3","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","1978","1978","t","1","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","1979","1979","t","131","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","1980","1980","t","81","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","1981","1981","t","269","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","1982","1982","t","578","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","1983","1983","t","609","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","1984","1984","t","1217","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","1985","1985","t","1439","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","1986","1986","t","2831","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","1987","1987","t","4404","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","1988","1988","t","8838","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","1989","1989","t","9098","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","1990","1990","t","7036","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","1991","1991","t","7334","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","1992","1992","t","5144","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","1993","1993","t","5138","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","1994","1994","t","4927","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","1995","1995","t","2938","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","1996","1996","t","1835","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","1997","1997","t","4935","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","1998","1998","t","1320","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","1999","1999","t","1733","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","2000","2000","t","1686.5","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","2001","2001","t","1577","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","2002","2002","t","2204","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","2003","2003","t","3429","A","Official figure",""
