Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GCE","Emissions from Crops","076","Brazil","72307","Burning crop residues (Emissions N2O)","01802","Sugar cane","1967","1967","3050","FAO TIER 1","kt","0.0765","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72257","Burning crop residues (Emissions CH4)","01802","Sugar cane","1967","1967","3050","FAO TIER 1","kt","2.9497","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72302","Crop residues (Emissions N2O)","01802","Sugar cane","1968","1968","3050","FAO TIER 1","kt","","A","Official figure",""
"GCE","Emissions from Crops","076","Brazil","7245","Burning crop residues (Biomass burned, dry matter)","01802","Sugar cane","1968","1968","3050","FAO TIER 1","t","1096372.55","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72307","Burning crop residues (Emissions N2O)","01802","Sugar cane","1968","1968","3050","FAO TIER 1","kt","0.0767","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72257","Burning crop residues (Emissions CH4)","01802","Sugar cane","1968","1968","3050","FAO TIER 1","kt","2.9602","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72302","Crop residues (Emissions N2O)","01802","Sugar cane","1969","1969","3050","FAO TIER 1","kt","","A","Official figure",""
"GCE","Emissions from Crops","076","Brazil","7245","Burning crop residues (Biomass burned, dry matter)","01802","Sugar cane","1969","1969","3050","FAO TIER 1","t","1086865.65","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72307","Burning crop residues (Emissions N2O)","01802","Sugar cane","1969","1969","3050","FAO TIER 1","kt","0.0761","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72257","Burning crop residues (Emissions CH4)","01802","Sugar cane","1969","1969","3050","FAO TIER 1","kt","2.9345","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72302","Crop residues (Emissions N2O)","01802","Sugar cane","1970","1970","3050","FAO TIER 1","kt","","A","Official figure",""
"GCE","Emissions from Crops","076","Brazil","7245","Burning crop residues (Biomass burned, dry matter)","01802","Sugar cane","1970","1970","3050","FAO TIER 1","t","1121328.65","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72307","Burning crop residues (Emissions N2O)","01802","Sugar cane","1970","1970","3050","FAO TIER 1","kt","0.0785","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72257","Burning crop residues (Emissions CH4)","01802","Sugar cane","1970","1970","3050","FAO TIER 1","kt","3.0276","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72302","Crop residues (Emissions N2O)","01802","Sugar cane","1971","1971","3050","FAO TIER 1","kt","","A","Official figure",""
