occipital neocortex,primary motor-sensory cortex (samples),amygdaloid complex,medial ganglionic eminence,posterior (caudal) superior temporal cortex (area 22c),upper (rostral) rhombic lip,caudal ganglionic eminence,dorsal thalamus,anterior (rostral) cingulate (medial prefrontal) cortex,dorsolateral prefrontal cortex,orbital frontal cortex,lateral ganglionic eminence,"inferolateral temporal cortex (area TEv, area 20)",hippocampus (hippocampal formation),ventrolateral prefrontal cortex,parietal neocortex
41.88552,33.386527,32.862464,36.800469,37.856912,29.24436,34.10548,30.567128,41.388215,41.114225,58.311198,32.916202,40.832681,45.9918,38.012396,35.75729
3.857779,4.089365,5.219072,4.079337,5.668398,6.471636,4.302675,4.417412,4.4333,3.604076,5.176844,4.11865,4.98617,7.431714,3.041648,4.621761
7.157484,6.289158,6.817417,6.777526,6.075291,5.292695,6.969457,4.349706,6.531274,5.996497,6.258491,6.904951,7.859193,7.705411,5.490992,6.485531
0.426574,0.482499,0.552736,0.537282,0.493542,0.451398,0.431392,0.613941,0.518123,0.507677,0.553421,0.47656,0.516146,0.789652,0.414252,0.440981
0.0,0.0,0.0,0.0,0.033803,0.012622,0.0,0.0,0.0,0.0,0.0,0.0,0.002484,0.0,0.0,0.0
0.0,0.0,0.005635,0.0,0.01471,0.0,0.013803,0.0,0.053614,0.0,0.055196,0.0,0.0,0.014818,0.0,0.013639
9.717961,10.671117,7.21858,7.830979,9.304807,9.188,8.425712,6.794656,8.442927,8.912522,7.996795,8.57431,7.658255,8.877449,8.357313,9.576839
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02623,0.022546,0.0,0.0,0.0
0.0,0.03589,0.005012,0.032634,0.029281,0.019829,0.034461,0.000536,0.0,0.001288,0.043265,0.025814,0.041078,0.001166,0.003687,0.062804
9.955629,15.089909,16.433162,9.649166,16.983444,20.901618,12.157775,21.579835,8.65875,8.191609,9.912744,16.355116,15.944111,11.308217,11.656348,14.142487
0.013156,0.013338,0.032094,0.0,0.027541,0.030853,0.012922,0.0,0.016505,0.053598,0.017069,0.0,0.0,0.096916,0.034105,0.027018
11.302417,10.495659,4.329485,8.103556,5.909901,2.131397,7.986094,3.588303,11.156728,9.722059,5.406032,7.948066,5.304516,9.0317,8.398938,10.556589
0.010576,0.021443,0.0,0.009837,0.0365,0.148641,0.005053,0.011803,0.02277,0.0,0.0,0.011671,0.05965,0.033303,0.0,0.003522
6.294801,5.879027,5.282147,6.49116,7.158194,6.963443,7.865775,8.372821,6.730165,7.66332,7.144736,5.721521,7.158422,6.129324,7.145055,5.603307
4.918482,6.704085,4.279727,4.911273,5.913054,5.654415,5.155732,4.090455,3.966047,4.043453,3.366438,5.854324,5.717748,4.331478,4.587293,5.96108
1.067522,1.394427,1.539835,1.495478,1.387935,2.012892,1.049318,1.385369,1.505201,0.989522,1.602676,1.717029,1.37101,1.857496,1.227716,1.310486
0.77341,0.866695,1.430841,0.943747,1.053883,0.669216,1.242395,0.577897,0.507211,0.570441,0.825046,0.895442,1.26472,0.916186,0.902313,0.7648
0.006359,0.003746,0.015513,0.01191,0.001169,0.055421,0.012408,0.02868,0.0,0.0,0.041029,0.014036,0.018097,0.021112,0.016485,0.0
0.0,0.0,0.0,0.0,0.0,0.011405,0.0,0.014286,0.0,0.0,0.049369,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040663,0.0,0.0,0.0,0.0
0.351408,0.368903,0.288043,0.069187,0.868262,0.147171,0.036782,0.028438,0.549388,0.74889,4.469186,0.0,0.118898,0.949646,0.614388,0.410519
2.189856,3.730699,1.824668,1.871707,2.441085,2.717556,2.081892,1.616373,2.001786,2.272395,1.868805,2.366461,1.701355,1.979997,2.02794,2.876272
0.601994,0.27381,0.223786,0.243157,0.922283,0.034162,0.037123,0.0,0.10965,0.041703,8.276392,0.157289,0.08291,0.183902,0.409268,0.565575
1.940706,1.902077,2.708737,2.216041,1.711244,1.900221,2.035908,1.217463,1.512446,1.678607,1.563337,2.334611,1.797658,1.62057,1.626886,1.758007
0.013954,0.0,0.0,0.0,0.014507,0.008181,0.0,0.007893,0.0,0.0,0.00893,0.0,0.0,0.0,0.0,0.005518
0.0,0.0,0.0,0.074096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04143,0.05093,0.0
0.001989,0.003898,0.015202,0.005241,0.010131,0.05457,0.015367,0.0,0.008317,0.0,0.063476,0.036362,0.00566,0.040473,0.0,0.010007
4.612763,6.680265,7.206745,10.908076,6.523623,8.622434,11.070565,12.164772,4.751367,5.101805,6.725189,10.975888,6.333103,6.2559,6.227876,5.715319
0.825988,0.564947,0.554742,0.616664,0.916341,0.997654,0.5059,0.504867,0.59702,0.775853,1.36712,0.752461,0.535758,1.280279,0.65622,0.755039
11.184707,8.255781,3.369046,6.841728,5.716138,4.562795,6.075799,2.639131,16.055299,14.508911,12.878063,6.510457,4.49192,10.055435,9.86943,8.861166
75.251401,77.448808,115.545571,103.788916,97.807114,109.549536,97.426184,138.496345,79.358027,76.94638,70.520573,92.449207,112.2046,72.999803,91.059803,78.013106
