ensembl_gene_id,occipital neocortex,primary motor-sensory cortex (samples),amygdaloid complex,medial ganglionic eminence,posterior (caudal) superior temporal cortex (area 22c),upper (rostral) rhombic lip,caudal ganglionic eminence,dorsal thalamus,anterior (rostral) cingulate (medial prefrontal) cortex,dorsolateral prefrontal cortex,orbital frontal cortex,lateral ganglionic eminence,"inferolateral temporal cortex (area TEv, area 20)",hippocampus (hippocampal formation),ventrolateral prefrontal cortex,parietal neocortex,geneID
ENSG00000174130,0.077784,0.084921,0.043788,0.033391,0.13778,0.09822,0.05289,0.121842,0.052543,0.121878,0.077626,0.046222,0.045405,0.151069,0.093063,0.116731,ENSG00000174130
ENSG00000174132,3.517171,2.822168,3.993088,2.800641,4.610928,5.912296,3.136386,3.618435,4.043081,4.433498,6.019827,3.228118,4.32314,3.838947,4.889369,3.530255,ENSG00000174132
ENSG00000174136,14.725156,12.103756,16.447853,11.400696,11.084519,60.988272,9.184739,28.258154,12.896175,11.431003,14.461533,14.055108,18.738612,22.060137,9.750782,10.9732,ENSG00000174136
ENSG00000174137,0.271751,0.077497,0.113432,0.156745,0.186859,0.153389,0.099582,0.124716,0.180983,0.138151,0.198054,0.126607,0.169015,0.328467,0.147655,0.183545,ENSG00000174137
ENSG00000174145,0.103888,0.048293,0.443896,0.096736,0.376631,1.255982,0.114985,0.093201,0.07064,0.017664,0.286817,0.315688,2.575732,0.365991,0.05058,0.093376,ENSG00000174145
ENSG00000174151,2.033506,2.013368,2.452091,2.05229,1.951872,1.404824,1.604394,1.33467,1.717892,1.687053,1.301802,2.057292,1.88501,1.898329,1.59446,2.14171,ENSG00000174151
ENSG00000174156,0.0,0.0,0.0,0.0,0.0,0.046602,0.0,0.0,0.0,0.0,0.0,0.087722,0.0,0.501169,0.0,0.0,ENSG00000174156
ENSG00000174165,1.067522,1.394427,1.539835,1.495478,1.387935,2.012892,1.049318,1.385369,1.505201,0.989522,1.602676,1.717029,1.37101,1.857496,1.227716,1.310486,ENSG00000174165
ENSG00000174171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENSG00000174171
ENSG00000174173,23.694814,15.355246,15.253926,16.902142,18.264878,10.251011,15.583623,16.706113,24.255707,28.028818,21.668711,14.620813,16.718634,20.570787,19.101304,16.954468,ENSG00000174173
ENSG00000174175,0.337863,0.145785,0.112576,0.228404,0.39706,0.154088,0.08026,0.046617,0.090113,0.251615,0.292039,0.113225,0.116468,0.594902,0.091841,0.147516,ENSG00000174175
ENSG00000174177,11.158793,7.86477,10.828795,8.41346,8.490762,10.93018,9.469727,9.056869,10.593818,13.493128,9.936764,8.013399,8.202959,9.478576,9.477541,9.560434,ENSG00000174177
ENSG00000174194,0.047889,0.179499,0.070094,0.097993,0.070175,0.224607,0.093944,0.086683,0.048061,0.052025,0.062129,0.295385,0.081767,0.121184,0.099313,0.226195,ENSG00000174194
ENSG00000174196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENSG00000174196
ENSG00000174197,4.390608,7.144339,4.484675,5.05124,5.358065,3.982151,5.174599,3.72059,4.100916,2.425562,2.444561,6.233461,4.785025,5.329422,3.783592,6.077998,ENSG00000174197
ENSG00000174206,0.768983,0.493795,0.669319,0.718373,0.424721,0.383868,0.362692,0.441521,0.742642,0.573903,0.570439,0.618102,0.496232,0.709082,0.645885,0.41619,ENSG00000174206
ENSG00000174225,0.0,0.0,0.0,0.021763,0.0,0.051906,0.0,0.0,0.0,0.0,0.0,0.051645,0.022195,0.0,0.016803,0.0,ENSG00000174225
ENSG00000174226,0.011429,0.011587,0.027881,0.01063,0.0,0.080044,0.04475,0.01293,0.014338,0.0,0.0,0.0,0.010841,0.133697,0.0,0.0,ENSG00000174226
ENSG00000174227,1.583173,2.117126,1.494701,1.554276,1.81125,1.87561,1.669807,1.319164,1.464606,1.63631,1.473607,1.845536,1.754704,1.798172,1.474758,1.607717,ENSG00000174227
ENSG00000174231,64.820306,79.118514,80.277763,83.454523,77.211803,61.999582,90.002875,50.781737,50.388072,34.876543,26.963669,82.316822,77.253459,59.770056,52.414571,79.851857,ENSG00000174231
ENSG00000174233,2.987402,4.974172,2.935665,3.441864,3.704216,6.425902,3.315202,4.403181,2.139968,2.163816,3.2247,4.991978,3.134799,3.373172,2.27592,3.75651,ENSG00000174233
ENSG00000174236,0.125907,0.342112,0.154617,0.14738,0.298535,0.532774,0.093378,0.250964,0.197706,0.129105,0.269466,0.41968,0.240893,0.262347,0.082151,0.130161,ENSG00000174236
ENSG00000174238,20.308538,26.606907,29.515719,24.220612,28.481312,37.83692,23.07972,22.533188,23.311844,22.676316,24.746055,29.916208,31.23508,25.616748,23.962533,25.654178,ENSG00000174238
ENSG00000174243,20.86144,21.196789,18.081804,19.498891,18.197987,16.990215,19.809182,13.382474,21.078631,17.534877,17.980701,19.688514,16.668102,19.611812,20.616719,20.419802,ENSG00000174243
ENSG00000174255,0.0,0.0,0.0,0.011414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENSG00000174255
ENSG00000174276,6.067048,3.589319,5.482847,4.477169,5.335421,5.672798,4.272684,4.640375,5.841247,5.565987,6.311379,4.912563,5.335116,6.609323,4.82272,4.31107,ENSG00000174276
ENSG00000174279,0.0,0.0,0.010477,0.015978,0.008991,2.803151,0.0,0.0,0.075429,0.0,0.011144,0.028438,0.008148,0.009057,0.0,0.0,ENSG00000174279
ENSG00000174282,4.289097,6.572517,7.340652,7.218336,7.451536,11.872782,7.011596,6.531801,4.570612,3.345235,4.254931,8.969161,6.947269,6.181274,5.319515,6.152076,ENSG00000174282
ENSG00000174292,0.204506,0.228351,0.437203,0.264035,0.296233,0.745101,0.095801,0.170271,0.281928,0.125936,0.124097,0.397841,0.485215,0.415531,0.125535,0.223718,ENSG00000174292
ENSG00000174306,1.65429,3.251121,3.293656,2.531892,3.170256,2.973903,2.945047,1.94893,2.184159,1.559619,1.758125,3.982469,3.678414,2.123854,2.181976,2.947889,ENSG00000174306
ENSG00000174307,3.205181,2.188615,4.579328,2.534678,2.511796,6.496237,1.564238,2.038916,2.605881,3.000487,4.62436,2.797779,4.104349,2.82143,2.747147,2.716073,ENSG00000174307
